,地域,実施機関,申請期間,上限金額・助成額,補助率,目的,対象経費,対象事業者,公式公募ページ,補助金名,補助金既要
0,神奈川県 横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2024年5月10日?2024年12月23日,15万円,1/2,経営改善・経営強化／特許・知的財産,委託費／出願費／知的財産権等関連経費,中小企業,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/ip/chizaijyosei.html,神奈川県横浜市：「令和6年度 知的財産活動助成金」,"
知的財産の活用に向けた取組を促進するため、横浜知財みらい企業認定企業に対して知的財産取得や知的財産に係るコンサルティングの助成を行います。
"
0,青森県 八戸市,八戸市,2024年6月3日?2024年9月30日,100万円,・太陽光発電設備：定額 ・蓄電池：1/3 ・高効率空調機器：1/2 ※対象設備により上限額の変動あり,設備投資／省エネ／再エネ・畜エネ,設備購入費／工事費,中小企業／個人事業主／個人,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/kankyoseisakuka/gomi_kankyo_pet/2/5/21583.html,青森県八戸市：「八戸市再エネ・省エネ設備導入促進事業補助金」,"
市では、燃料価格の高騰が続く中で、家庭及び中小企業等におけるエネルギー費用の負担軽減を図るとともに、地球温暖化対策として温室効果ガス排出量削減の取組を推進するため、市民や中小企業者等を対象に、市内の住宅又は事業所に太陽光発電設備と蓄電池を同時に設置する場合の費用と、高効率空調機器を設置する場合の費用の一部を補助します。
"
0,福井県,福井県,2024年4月30日?2024年7月16日,40万円,1/3,人材育成・雇用／経営改善・経営強化／海外展開／業態転換・新分野展開／生産性向上・業務効率化,出展料・出店料／委託費／借料／人件費,中小企業／個人事業主／小規模事業者,https://www.pref.fukui.lg.jp/doc/rousei/kigyoushien/koyousousyutsu-teityaku.html,福井県：「ふくい雇用創出・定着支援事業補助金」（令和6年度）,"
県内に本社機能を有する中小企業が新分野進出や生産性向上、海外進出等に必要な中核となる人材を県外から新たに雇用する場合の人件費や採用活動に要する経費等を補助することにより、本県の経済成長を促進することを目的とします。
"
0,山形県 寒河江市,寒河江市,?2024年7月1日,ー,定額,経営改善・経営強化／設備投資,機械装置等費,農業法人／農業団体／個人農業者,https://www.city.sagae.yamagata.jp/jigyou/nougyou/farmer/tyojuyokoku.html,山形県寒河江市：「鳥獣被害防止のため電気柵等の導入支援」,"
市ではクマ、イノシシ等による農作物被害を防止するため、電気柵及びワイヤーメッシュ柵を導入する場合に予算の範囲内で補助金を交付します。
※購入予定物品の見積書をお持ちの上、農林課農業振興係まで事前にご相談ください。
"
0,福井県 福井市,福井市,2024年5月1日?,30万円,1/2（ただし、大学、短期大学、高等専門学校、専修学校及び高等学校に在学している場合、2/3）,起業・創業・ベンチャー／設備投資,広告費／制作費・開発費／設備購入費／工事費,創業前,https://www.city.fukui.lg.jp/sisei/hojyo/sigoto/p070264.html,福井県福井市：「令和6年度 スタートアップ創出補助金（若者・学生創業部門）」,"
市内での創業を応援するため、初期費用を支援します。創業後は中小企業診断士によるフォローアップ面談を行います。
"
0,福井県 福井市,福井市,2024年5月1日?2024年6月28日,50万円,1/2,起業・創業・ベンチャー／設備投資,広告費／制作費・開発費／設備購入費／工事費,中小企業／個人事業主／創業前／創業3年未満,https://www.city.fukui.lg.jp/sisei/hojyo/sigoto/p070265.html,福井県福井市：「令和6年度 スタートアップ創出補助金（成長事業拡大部門）」,"
市内での創業を応援するため、初期費用を支援します。創業後は中小企業診断士によるフォローアップ面談を行います。
"
0,沖縄県,公益財団法人沖縄県産業振興公社,2024年5月13日?2024年6月28日,100万円,2/3,経営改善・経営強化／事業承継,専門家謝金／広告費／旅費／委託費／外注費／借料／サービス利用料,中小企業／個人事業主,https://okinawa-ric.jp/news/entry/6-522.html,沖縄県：「事業承継補助金」≪第1回≫,"
後継者不在率が高い本県の状況を踏まえ、事業の継続と雇用の維持、技術の伝承を図る観点から、県内中小企業等の事業承継、経営資源の引継ぎを促進するとともに、持続的な成長に繋げるため、県内中小企業者の事業承継及び事業承継を実施する過程で行う経営改善に要する経費の一部を補助することにより、後継者不在の状況を改善し、世代交代を通じた持続的な県経済の活性化を図ることを目的とします。
※事前相談が必要です。事前相談期間：2024/05/13〜2024/06/21まで。
"
0,沖縄県,公益財団法人沖縄県産業振興公社,2024年8月1日?2024年9月30日,100万円,2/3,経営改善・経営強化／事業承継,専門家謝金／広告費／旅費／委託費／外注費／借料／サービス利用料,中小企業／個人事業主,https://okinawa-ric.jp/news/entry/6-522.html,沖縄県：「事業承継補助金」≪第2回≫,"
後継者不在率が高い本県の状況を踏まえ、事業の継続と雇用の維持、技術の伝承を図る観点から、県内中小企業等の事業承継、経営資源の引継ぎを促進するとともに、持続的な成長に繋げるため、県内中小企業者の事業承継及び事業承継を実施する過程で行う経営改善に要する経費の一部を補助することにより、後継者不在の状況を改善し、世代交代を通じた持続的な県経済の活性化を図ることを目的とします。
※事前相談が必要です。事前相談期間：2024/08/01〜2024/09/20まで。
"
0,兵庫県,兵庫県中小企業団体中央会,?2024年5月31日,45万円,定額,経営改善・経営強化／生産性向上・業務効率化,専門家謝金／旅費／委託費,組合・団体等,https://www.chuokai.com/service/,兵庫県：「令和6年度サービス産業構造改善支援事業」,"
サービス産業の生産性向上を図るため、サービスの質の向上や効率的な提供方法の検討と先進事例の情報共有を図り、意見交換や事例研究を通じてこれからの時代にふさわしいサービス産業のあり方を模索することを目的とします。
"
0,奈良県 奈良市,奈良市,?2024年5月31日,9万円,100％,海外展開／販路開拓・販路拡大,旅費／宿泊費,当該地域事業者,https://www.city.nara.lg.jp/site/jigyosyashien/173974.html,奈良県奈良市：「令和6年度 奈良市海外販路拡大支援事業inオーストラリア・シドニー」,"
海外への販路拡大の一歩を踏み出したい奈良の事業者を対象に、シドニーでのテストマーケティング、現地販売及び商談会出展を支援します。
"
0,兵庫県,兵庫県中小企業団体中央会,2024年5月7日?2024年5月24日,50万円,2/3(下限額10万円),経営改善・経営強化,専門家謝金／通信運搬費／雑役務費／委託費／借料,組合・団体等／社団法人・財団法人,https://www.chuokai.com/torihikiryoku/,兵庫県：「取引力強化推進事業」（令和6年度）,"
小規模事業者を主体とした組合が、共同事業の活性化や受注拡大など取引力の強化に取り組む特徴的・先進的な事業を実施する組合を募集します。
"
